network,avg_price,min_price,max_price,stores
PROFI,12.54,3.91,16.59,24
CARREFOUR,15.5,15.49,15.79,38
CORA,16.17,15.69,16.29,5
AUCHAN,17.05,12.99,17.89,29
SELGROS,19.61,19.61,19.61,15

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,15.49
SELGROS,13.04.2026 20:00,19.61
AUCHAN,15.04.2026 04:00,17.89
CARREFOUR,15.04.2026 04:00,15.56
CORA,15.04.2026 04:00,16.29
PROFI,15.04.2026 04:00,14.15
SELGROS,15.04.2026 04:00,19.61
AUCHAN,15.04.2026 20:00,17.1
CARREFOUR,15.04.2026 20:00,15.51
CORA,15.04.2026 20:00,16.2
PROFI,15.04.2026 20:00,12.25
SELGROS,15.04.2026 20:00,19.61
AUCHAN,16.04.2026 04:00,17.89
CARREFOUR,16.04.2026 04:00,15.49
CORA,16.04.2026 04:00,16.29
SELGROS,16.04.2026 04:00,19.61
AUCHAN,16.04.2026 20:00,17.89
CARREFOUR,16.04.2026 20:00,15.59
CORA,16.04.2026 20:00,16.29
PROFI,16.04.2026 20:00,14.15
SELGROS,16.04.2026 20:00,19.61
AUCHAN,17.04.2026 04:00,17.05
CARREFOUR,17.04.2026 04:00,15.5
CORA,17.04.2026 04:00,16.17
PROFI,17.04.2026 04:00,12.54
SELGROS,17.04.2026 04:00,19.61
