network,avg_price,min_price,max_price,stores
CARREFOUR,7.74,7.49,8.99,18
AUCHAN,7.99,7.99,7.99,3
KAUFLAND,7.99,7.99,7.99,25
SELGROS,7.99,7.99,7.99,1
CORA,8.29,8.29,8.29,4
MEGA IMAGE SRL,8.52,8.49,9.09,130
PROFI,8.99,8.99,8.99,117

network,price_date,avg_price
AUCHAN,14.04.2026 04:00,7.99
CARREFOUR,14.04.2026 04:00,8.62
KAUFLAND,14.04.2026 04:00,7.99
PROFI,14.04.2026 04:00,8.99
SELGROS,14.04.2026 04:00,7.99
CARREFOUR,15.04.2026 04:00,8.49
KAUFLAND,15.04.2026 04:00,7.99
MEGA IMAGE SRL,15.04.2026 04:00,8.49
PROFI,15.04.2026 04:00,8.99
AUCHAN,15.04.2026 20:00,7.99
CARREFOUR,15.04.2026 20:00,8.73
CORA,15.04.2026 20:00,8.29
KAUFLAND,15.04.2026 20:00,7.99
MEGA IMAGE SRL,15.04.2026 20:00,8.52
PROFI,15.04.2026 20:00,8.99
SELGROS,15.04.2026 20:00,7.99
AUCHAN,17.04.2026 04:00,7.99
CARREFOUR,17.04.2026 04:00,8.73
CORA,17.04.2026 04:00,8.29
KAUFLAND,17.04.2026 04:00,7.99
MEGA IMAGE SRL,17.04.2026 04:00,8.52
PROFI,17.04.2026 04:00,8.99
SELGROS,17.04.2026 04:00,7.99
AUCHAN,17.04.2026 20:00,7.99
CARREFOUR,17.04.2026 20:00,7.74
CORA,17.04.2026 20:00,8.29
KAUFLAND,17.04.2026 20:00,7.99
MEGA IMAGE SRL,17.04.2026 20:00,8.52
PROFI,17.04.2026 20:00,8.99
SELGROS,17.04.2026 20:00,7.99
AUCHAN,18.04.2026 20:00,7.99
CARREFOUR,18.04.2026 20:00,7.74
CORA,18.04.2026 20:00,8.29
KAUFLAND,18.04.2026 20:00,7.99
MEGA IMAGE SRL,18.04.2026 20:00,8.52
PROFI,18.04.2026 20:00,8.99
SELGROS,18.04.2026 20:00,7.99
