network,avg_price,min_price,max_price,stores
CORA,2.09,2.09,2.09,4
AUCHAN,2.25,1.69,2.39,5
PENNY,2.39,2.39,2.39,2
SELGROS,2.43,2.43,2.43,5
PROFI,2.51,2.35,2.69,69
CARREFOUR,2.56,2.19,2.99,54
MEGA IMAGE SRL,2.59,2.59,2.59,85

network,price_date,avg_price
AUCHAN,14.04.2026 04:00,2.36
CARREFOUR,14.04.2026 04:00,2.58
MEGA IMAGE SRL,14.04.2026 04:00,2.59
PROFI,14.04.2026 04:00,2.49
SELGROS,14.04.2026 04:00,2.43
SUPECO,14.04.2026 04:00,1.99
CARREFOUR,15.04.2026 04:00,2.59
MEGA IMAGE SRL,15.04.2026 04:00,2.59
PENNY,15.04.2026 04:00,2.39
PROFI,15.04.2026 04:00,2.49
AUCHAN,15.04.2026 20:00,2.29
CARREFOUR,15.04.2026 20:00,2.56
CORA,15.04.2026 20:00,2.09
MEGA IMAGE SRL,15.04.2026 20:00,2.59
PENNY,15.04.2026 20:00,2.39
PROFI,15.04.2026 20:00,2.51
SELGROS,15.04.2026 20:00,2.43
AUCHAN,17.04.2026 04:00,2.27
CARREFOUR,17.04.2026 04:00,2.56
CORA,17.04.2026 04:00,2.09
MEGA IMAGE SRL,17.04.2026 04:00,2.59
PENNY,17.04.2026 04:00,2.39
PROFI,17.04.2026 04:00,2.51
SELGROS,17.04.2026 04:00,2.43
AUCHAN,17.04.2026 20:00,2.25
CARREFOUR,17.04.2026 20:00,2.56
CORA,17.04.2026 20:00,2.09
MEGA IMAGE SRL,17.04.2026 20:00,2.59
PENNY,17.04.2026 20:00,2.39
PROFI,17.04.2026 20:00,2.51
SELGROS,17.04.2026 20:00,2.43
