network,avg_price,min_price,max_price,stores
CORA,2.09,2.09,2.09,4
AUCHAN,2.21,1.69,2.39,4
PENNY,2.39,2.39,2.39,2
SELGROS,2.43,2.43,2.43,5
PROFI,2.51,2.35,2.69,70
CARREFOUR,2.55,2.19,2.99,57
MEGA IMAGE SRL,2.6,2.59,2.69,85

network,price_date,avg_price
AUCHAN,14.04.2026 04:00,2.36
CARREFOUR,14.04.2026 04:00,2.58
MEGA IMAGE SRL,14.04.2026 04:00,2.59
PROFI,14.04.2026 04:00,2.49
SELGROS,14.04.2026 04:00,2.43
SUPECO,14.04.2026 04:00,1.99
CARREFOUR,15.04.2026 04:00,2.59
MEGA IMAGE SRL,15.04.2026 04:00,2.59
PENNY,15.04.2026 04:00,2.39
PROFI,15.04.2026 04:00,2.49
AUCHAN,15.04.2026 20:00,2.29
CARREFOUR,15.04.2026 20:00,2.55
CORA,15.04.2026 20:00,2.09
MEGA IMAGE SRL,15.04.2026 20:00,2.59
PENNY,15.04.2026 20:00,2.39
PROFI,15.04.2026 20:00,2.51
SELGROS,15.04.2026 20:00,2.43
AUCHAN,17.04.2026 04:00,2.27
CARREFOUR,17.04.2026 04:00,2.55
CORA,17.04.2026 04:00,2.09
MEGA IMAGE SRL,17.04.2026 04:00,2.59
PENNY,17.04.2026 04:00,2.39
PROFI,17.04.2026 04:00,2.51
SELGROS,17.04.2026 04:00,2.43
AUCHAN,17.04.2026 20:00,2.25
CARREFOUR,17.04.2026 20:00,2.56
CORA,17.04.2026 20:00,2.09
MEGA IMAGE SRL,17.04.2026 20:00,2.59
PENNY,17.04.2026 20:00,2.39
PROFI,17.04.2026 20:00,2.51
SELGROS,17.04.2026 20:00,2.43
AUCHAN,18.04.2026 20:00,2.21
CARREFOUR,18.04.2026 20:00,2.56
CORA,18.04.2026 20:00,2.09
MEGA IMAGE SRL,18.04.2026 20:00,2.59
PENNY,18.04.2026 20:00,2.39
PROFI,18.04.2026 20:00,2.51
SELGROS,18.04.2026 20:00,2.43
AUCHAN,19.04.2026 20:00,2.21
CARREFOUR,19.04.2026 20:00,2.56
CORA,19.04.2026 20:00,2.09
MEGA IMAGE SRL,19.04.2026 20:00,2.59
PENNY,19.04.2026 20:00,2.39
PROFI,19.04.2026 20:00,2.51
SELGROS,19.04.2026 20:00,2.43
AUCHAN,20.04.2026 20:00,2.21
CARREFOUR,20.04.2026 20:00,2.56
CORA,20.04.2026 20:00,2.09
MEGA IMAGE SRL,20.04.2026 20:00,2.59
PENNY,20.04.2026 20:00,2.39
PROFI,20.04.2026 20:00,2.51
SELGROS,20.04.2026 20:00,2.43
AUCHAN,21.04.2026 20:00,2.21
CARREFOUR,21.04.2026 20:00,2.56
CORA,21.04.2026 20:00,2.09
MEGA IMAGE SRL,21.04.2026 20:00,2.59
PENNY,21.04.2026 20:00,2.39
PROFI,21.04.2026 20:00,2.51
SELGROS,21.04.2026 20:00,2.43
AUCHAN,22.04.2026 20:00,2.21
CARREFOUR,22.04.2026 20:00,2.55
CORA,22.04.2026 20:00,2.09
MEGA IMAGE SRL,22.04.2026 20:00,2.59
PENNY,22.04.2026 20:00,2.39
PROFI,22.04.2026 20:00,2.51
SELGROS,22.04.2026 20:00,2.43
AUCHAN,23.04.2026 20:00,2.21
CARREFOUR,23.04.2026 20:00,2.55
CORA,23.04.2026 20:00,2.09
MEGA IMAGE SRL,23.04.2026 20:00,2.6
PENNY,23.04.2026 20:00,2.39
PROFI,23.04.2026 20:00,2.51
SELGROS,23.04.2026 20:00,2.43
