network,avg_price,min_price,max_price,stores
AUCHAN,8.79,8.79,8.79,4
MEGA IMAGE SRL,8.89,8.89,8.89,123
CARREFOUR,8.9,8.49,9.35,50
PROFI,9.14,8.39,9.19,146
KAUFLAND,9.19,9.19,9.19,29
PENNY,9.19,9.19,9.19,2
SELGROS,9.49,9.49,9.49,5
CORA,13.91,7.49,20.34,4

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,8.73
KAUFLAND,15.04.2026 04:00,9.19
MEGA IMAGE SRL,15.04.2026 04:00,8.89
PENNY,15.04.2026 04:00,8.49
PROFI,15.04.2026 04:00,8.92
AUCHAN,15.04.2026 20:00,8.79
CARREFOUR,15.04.2026 20:00,8.9
CORA,15.04.2026 20:00,10.7
KAUFLAND,15.04.2026 20:00,9.19
MEGA IMAGE SRL,15.04.2026 20:00,8.89
PENNY,15.04.2026 20:00,8.49
PROFI,15.04.2026 20:00,9.14
SELGROS,15.04.2026 20:00,9.77
AUCHAN,17.04.2026 04:00,8.79
CARREFOUR,17.04.2026 04:00,8.9
CORA,17.04.2026 04:00,10.7
KAUFLAND,17.04.2026 04:00,9.19
MEGA IMAGE SRL,17.04.2026 04:00,8.89
PENNY,17.04.2026 04:00,8.49
PROFI,17.04.2026 04:00,9.14
SELGROS,17.04.2026 04:00,9.77
AUCHAN,17.04.2026 20:00,8.79
CARREFOUR,17.04.2026 20:00,8.89
CORA,17.04.2026 20:00,17.13
KAUFLAND,17.04.2026 20:00,9.19
MEGA IMAGE SRL,17.04.2026 20:00,8.89
PENNY,17.04.2026 20:00,9.19
PROFI,17.04.2026 20:00,9.14
SELGROS,17.04.2026 20:00,9.77
AUCHAN,18.04.2026 20:00,8.79
CARREFOUR,18.04.2026 20:00,8.89
CORA,18.04.2026 20:00,17.13
KAUFLAND,18.04.2026 20:00,9.19
MEGA IMAGE SRL,18.04.2026 20:00,8.89
PENNY,18.04.2026 20:00,9.19
PROFI,18.04.2026 20:00,9.14
SELGROS,18.04.2026 20:00,9.77
AUCHAN,19.04.2026 20:00,8.79
CARREFOUR,19.04.2026 20:00,8.89
CORA,19.04.2026 20:00,13.91
KAUFLAND,19.04.2026 20:00,9.19
MEGA IMAGE SRL,19.04.2026 20:00,8.89
PENNY,19.04.2026 20:00,9.19
PROFI,19.04.2026 20:00,9.14
SELGROS,19.04.2026 20:00,9.77
AUCHAN,20.04.2026 20:00,8.79
CARREFOUR,20.04.2026 20:00,8.89
CORA,20.04.2026 20:00,7.49
KAUFLAND,20.04.2026 20:00,9.19
MEGA IMAGE SRL,20.04.2026 20:00,8.89
PENNY,20.04.2026 20:00,9.19
PROFI,20.04.2026 20:00,9.14
SELGROS,20.04.2026 20:00,9.77
AUCHAN,21.04.2026 20:00,8.79
CARREFOUR,21.04.2026 20:00,8.89
CORA,21.04.2026 20:00,7.49
KAUFLAND,21.04.2026 20:00,9.19
MEGA IMAGE SRL,21.04.2026 20:00,8.89
PENNY,21.04.2026 20:00,9.19
PROFI,21.04.2026 20:00,9.14
SELGROS,21.04.2026 20:00,9.49
AUCHAN,22.04.2026 20:00,8.79
CARREFOUR,22.04.2026 20:00,8.89
CORA,22.04.2026 20:00,17.13
KAUFLAND,22.04.2026 20:00,9.19
MEGA IMAGE SRL,22.04.2026 20:00,8.89
PENNY,22.04.2026 20:00,9.19
PROFI,22.04.2026 20:00,9.14
SELGROS,22.04.2026 20:00,9.49
AUCHAN,23.04.2026 20:00,8.79
CARREFOUR,23.04.2026 20:00,8.9
CORA,23.04.2026 20:00,17.13
KAUFLAND,23.04.2026 20:00,9.19
MEGA IMAGE SRL,23.04.2026 20:00,8.89
PENNY,23.04.2026 20:00,9.19
PROFI,23.04.2026 20:00,9.14
SELGROS,23.04.2026 20:00,9.49
AUCHAN,24.04.2026 20:00,8.79
CARREFOUR,24.04.2026 20:00,8.9
CORA,24.04.2026 20:00,13.91
KAUFLAND,24.04.2026 20:00,9.19
MEGA IMAGE SRL,24.04.2026 20:00,8.89
PENNY,24.04.2026 20:00,9.19
PROFI,24.04.2026 20:00,9.14
SELGROS,24.04.2026 20:00,9.49
