network,avg_price,min_price,max_price,stores
PENNY,1.19,1.19,1.19,2
PROFI,2.01,1.79,2.15,144
CORA,7.5,1.09,13.9,4
MEGA IMAGE SRL,8.4,1.39,15.29,123
CARREFOUR,9.21,1.49,17.49,57
SELGROS,9.38,1.66,14.53,5
AUCHAN,14.99,14.99,14.99,5
KAUFLAND,14.99,14.99,14.99,28

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,14.99
CARREFOUR,15.04.2026 04:00,8.84
KAUFLAND,15.04.2026 04:00,14.99
MEGA IMAGE SRL,15.04.2026 04:00,1.39
PENNY,15.04.2026 04:00,1.29
PROFI,15.04.2026 04:00,1.99
AUCHAN,15.04.2026 20:00,14.99
CARREFOUR,15.04.2026 20:00,7.39
CORA,15.04.2026 20:00,4.29
KAUFLAND,15.04.2026 20:00,14.99
MEGA IMAGE SRL,15.04.2026 20:00,10.06
PENNY,15.04.2026 20:00,1.29
PROFI,15.04.2026 20:00,2.01
SELGROS,15.04.2026 20:00,9.38
AUCHAN,17.04.2026 04:00,14.99
CARREFOUR,17.04.2026 04:00,9.29
CORA,17.04.2026 04:00,7.5
KAUFLAND,17.04.2026 04:00,14.99
MEGA IMAGE SRL,17.04.2026 04:00,8.85
PENNY,17.04.2026 04:00,1.29
PROFI,17.04.2026 04:00,2.01
SELGROS,17.04.2026 04:00,6.81
AUCHAN,17.04.2026 20:00,14.99
CARREFOUR,17.04.2026 20:00,9.01
CORA,17.04.2026 20:00,4.29
KAUFLAND,17.04.2026 20:00,14.99
MEGA IMAGE SRL,17.04.2026 20:00,8.5
PENNY,17.04.2026 20:00,1.19
PROFI,17.04.2026 20:00,2.01
SELGROS,17.04.2026 20:00,9.38
AUCHAN,18.04.2026 20:00,14.99
CARREFOUR,18.04.2026 20:00,9.27
CORA,18.04.2026 20:00,10.7
KAUFLAND,18.04.2026 20:00,14.99
MEGA IMAGE SRL,18.04.2026 20:00,9.03
PENNY,18.04.2026 20:00,1.19
PROFI,18.04.2026 20:00,2.01
SELGROS,18.04.2026 20:00,11.96
AUCHAN,19.04.2026 20:00,14.99
CARREFOUR,19.04.2026 20:00,10.35
CORA,19.04.2026 20:00,10.7
KAUFLAND,19.04.2026 20:00,14.99
MEGA IMAGE SRL,19.04.2026 20:00,8.23
PENNY,19.04.2026 20:00,1.19
PROFI,19.04.2026 20:00,2.01
SELGROS,19.04.2026 20:00,9.38
AUCHAN,20.04.2026 20:00,14.99
CARREFOUR,20.04.2026 20:00,7.35
CORA,20.04.2026 20:00,7.5
KAUFLAND,20.04.2026 20:00,14.99
MEGA IMAGE SRL,20.04.2026 20:00,9.0
PENNY,20.04.2026 20:00,1.19
PROFI,20.04.2026 20:00,2.01
SELGROS,20.04.2026 20:00,9.38
AUCHAN,21.04.2026 20:00,14.99
CARREFOUR,21.04.2026 20:00,8.67
CORA,21.04.2026 20:00,1.09
KAUFLAND,21.04.2026 20:00,14.99
MEGA IMAGE SRL,21.04.2026 20:00,7.87
PENNY,21.04.2026 20:00,1.19
PROFI,21.04.2026 20:00,2.01
SELGROS,21.04.2026 20:00,6.81
AUCHAN,22.04.2026 20:00,14.99
CARREFOUR,22.04.2026 20:00,9.6
CORA,22.04.2026 20:00,7.5
KAUFLAND,22.04.2026 20:00,14.99
MEGA IMAGE SRL,22.04.2026 20:00,6.86
PENNY,22.04.2026 20:00,1.19
PROFI,22.04.2026 20:00,2.01
SELGROS,22.04.2026 20:00,9.38
AUCHAN,23.04.2026 20:00,14.99
CARREFOUR,23.04.2026 20:00,9.21
CORA,23.04.2026 20:00,7.5
KAUFLAND,23.04.2026 20:00,14.99
MEGA IMAGE SRL,23.04.2026 20:00,8.4
PENNY,23.04.2026 20:00,1.19
PROFI,23.04.2026 20:00,2.01
SELGROS,23.04.2026 20:00,9.38
