network,avg_price,min_price,max_price,stores
AUCHAN,8.59,8.59,8.59,3
SELGROS,9.12,9.04,9.18,5
CORA,9.69,9.69,9.69,4
CARREFOUR,10.33,8.59,12.49,25
PROFI,10.94,8.99,11.55,128

network,price_date,avg_price
AUCHAN,14.04.2026 04:00,8.59
CARREFOUR,14.04.2026 04:00,9.78
PROFI,14.04.2026 04:00,10.72
SELGROS,14.04.2026 04:00,9.11
CARREFOUR,15.04.2026 04:00,8.59
PROFI,15.04.2026 04:00,10.95
AUCHAN,15.04.2026 20:00,8.59
CARREFOUR,15.04.2026 20:00,10.33
CORA,15.04.2026 20:00,9.69
PROFI,15.04.2026 20:00,10.94
SELGROS,15.04.2026 20:00,9.12
AUCHAN,17.04.2026 04:00,8.59
CARREFOUR,17.04.2026 04:00,10.33
CORA,17.04.2026 04:00,9.69
PROFI,17.04.2026 04:00,10.93
SELGROS,17.04.2026 04:00,9.1
AUCHAN,17.04.2026 20:00,8.59
CARREFOUR,17.04.2026 20:00,10.33
CORA,17.04.2026 20:00,9.69
PROFI,17.04.2026 20:00,10.94
SELGROS,17.04.2026 20:00,9.12
