network,avg_price,min_price,max_price,stores
AUCHAN,8.59,8.59,8.59,2
SELGROS,9.04,9.04,9.04,5
CORA,9.69,9.69,9.69,4
CARREFOUR,10.29,8.59,12.49,27
PROFI,10.95,8.99,11.55,131

network,price_date,avg_price
AUCHAN,14.04.2026 04:00,8.59
CARREFOUR,14.04.2026 04:00,10.08
PROFI,14.04.2026 04:00,10.72
SELGROS,14.04.2026 04:00,9.11
CARREFOUR,15.04.2026 04:00,8.59
PROFI,15.04.2026 04:00,10.95
AUCHAN,15.04.2026 20:00,8.59
CARREFOUR,15.04.2026 20:00,10.29
CORA,15.04.2026 20:00,9.69
PROFI,15.04.2026 20:00,10.95
SELGROS,15.04.2026 20:00,9.12
AUCHAN,17.04.2026 04:00,8.59
CARREFOUR,17.04.2026 04:00,10.29
CORA,17.04.2026 04:00,9.69
PROFI,17.04.2026 04:00,10.94
SELGROS,17.04.2026 04:00,9.1
AUCHAN,17.04.2026 20:00,8.59
CARREFOUR,17.04.2026 20:00,10.33
CORA,17.04.2026 20:00,9.69
PROFI,17.04.2026 20:00,10.95
SELGROS,17.04.2026 20:00,9.12
AUCHAN,18.04.2026 20:00,8.59
CARREFOUR,18.04.2026 20:00,10.33
CORA,18.04.2026 20:00,9.69
PROFI,18.04.2026 20:00,10.95
SELGROS,18.04.2026 20:00,9.18
AUCHAN,19.04.2026 20:00,8.59
CARREFOUR,19.04.2026 20:00,10.33
CORA,19.04.2026 20:00,9.69
PROFI,19.04.2026 20:00,10.95
SELGROS,19.04.2026 20:00,9.12
AUCHAN,20.04.2026 20:00,8.59
CARREFOUR,20.04.2026 20:00,10.29
CORA,20.04.2026 20:00,9.69
PROFI,20.04.2026 20:00,10.95
SELGROS,20.04.2026 20:00,9.12
AUCHAN,21.04.2026 20:00,8.59
CARREFOUR,21.04.2026 20:00,10.29
CORA,21.04.2026 20:00,9.69
PROFI,21.04.2026 20:00,10.95
SELGROS,21.04.2026 20:00,9.04
