network,avg_price,min_price,max_price,stores
CORA,3.19,3.19,3.19,1
KAUFLAND,3.24,3.24,3.24,4
CARREFOUR,3.25,3.25,3.25,2
MEGA IMAGE SRL,3.39,3.39,3.39,5
SELGROS,3.87,3.87,3.87,1
PROFI,4.29,4.29,4.29,5

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,3.34
CORA,15.04.2026 04:00,3.19
KAUFLAND,15.04.2026 04:00,3.24
MEGA IMAGE SRL,15.04.2026 04:00,3.39
PROFI,15.04.2026 04:00,4.27
SELGROS,15.04.2026 04:00,3.87
CARREFOUR,15.04.2026 20:00,3.33
CORA,15.04.2026 20:00,3.19
KAUFLAND,15.04.2026 20:00,3.24
MEGA IMAGE SRL,15.04.2026 20:00,3.39
PROFI,15.04.2026 20:00,4.32
SELGROS,15.04.2026 20:00,3.87
CARREFOUR,16.04.2026 04:00,3.25
CORA,16.04.2026 04:00,3.19
KAUFLAND,16.04.2026 04:00,3.24
MEGA IMAGE SRL,16.04.2026 04:00,3.39
PROFI,16.04.2026 04:00,4.29
SELGROS,16.04.2026 04:00,3.87
