network,avg_price,min_price,max_price,stores
SELGROS,4.55,4.55,4.55,5
CORA,5.29,5.29,5.29,4
AUCHAN,5.39,4.19,5.59,7
MEGA IMAGE SRL,5.68,5.68,5.68,122
KAUFLAND,5.99,5.99,5.99,25
PENNY,5.99,5.99,5.99,2
CARREFOUR,6.0,4.09,6.69,54
PROFI,6.19,5.99,6.29,142

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,6.12
KAUFLAND,15.04.2026 04:00,5.99
MEGA IMAGE SRL,15.04.2026 04:00,5.79
PENNY,15.04.2026 04:00,4.19
PROFI,15.04.2026 04:00,6.17
AUCHAN,15.04.2026 20:00,5.39
CARREFOUR,15.04.2026 20:00,6.05
CORA,15.04.2026 20:00,5.29
KAUFLAND,15.04.2026 20:00,5.99
MEGA IMAGE SRL,15.04.2026 20:00,5.8
PENNY,15.04.2026 20:00,5.99
PROFI,15.04.2026 20:00,6.19
SELGROS,15.04.2026 20:00,4.55
AUCHAN,17.04.2026 04:00,5.39
CARREFOUR,17.04.2026 04:00,6.05
CORA,17.04.2026 04:00,5.29
KAUFLAND,17.04.2026 04:00,5.99
MEGA IMAGE SRL,17.04.2026 04:00,5.68
PENNY,17.04.2026 04:00,5.99
PROFI,17.04.2026 04:00,6.19
SELGROS,17.04.2026 04:00,4.55
AUCHAN,17.04.2026 20:00,5.39
CARREFOUR,17.04.2026 20:00,5.96
CORA,17.04.2026 20:00,5.29
KAUFLAND,17.04.2026 20:00,5.99
MEGA IMAGE SRL,17.04.2026 20:00,5.68
PENNY,17.04.2026 20:00,5.99
PROFI,17.04.2026 20:00,6.19
SELGROS,17.04.2026 20:00,4.55
AUCHAN,18.04.2026 20:00,5.39
CARREFOUR,18.04.2026 20:00,5.96
CORA,18.04.2026 20:00,5.29
KAUFLAND,18.04.2026 20:00,5.99
MEGA IMAGE SRL,18.04.2026 20:00,5.68
PENNY,18.04.2026 20:00,5.99
PROFI,18.04.2026 20:00,6.19
SELGROS,18.04.2026 20:00,4.55
AUCHAN,19.04.2026 20:00,5.39
CARREFOUR,19.04.2026 20:00,5.96
CORA,19.04.2026 20:00,5.29
KAUFLAND,19.04.2026 20:00,5.99
MEGA IMAGE SRL,19.04.2026 20:00,5.68
PENNY,19.04.2026 20:00,5.99
PROFI,19.04.2026 20:00,6.19
SELGROS,19.04.2026 20:00,4.55
AUCHAN,20.04.2026 20:00,5.39
CARREFOUR,20.04.2026 20:00,6.0
CORA,20.04.2026 20:00,5.29
KAUFLAND,20.04.2026 20:00,5.99
MEGA IMAGE SRL,20.04.2026 20:00,5.68
PENNY,20.04.2026 20:00,5.99
PROFI,20.04.2026 20:00,6.19
SELGROS,20.04.2026 20:00,4.55
