network,avg_price,min_price,max_price,stores
CORA,3.59,3.59,3.59,4
PENNY,3.99,3.99,3.99,2
SELGROS,4.05,4.05,4.05,5
AUCHAN,4.21,4.19,4.22,9
KAUFLAND,4.39,4.39,4.39,25
MEGA IMAGE SRL,4.41,4.39,4.79,130
CARREFOUR,4.55,4.39,4.89,18
PROFI,4.75,4.29,5.05,140

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,4.39
KAUFLAND,15.04.2026 04:00,4.39
MEGA IMAGE SRL,15.04.2026 04:00,4.39
PENNY,15.04.2026 04:00,4.05
PROFI,15.04.2026 04:00,4.62
AUCHAN,15.04.2026 20:00,4.21
CARREFOUR,15.04.2026 20:00,4.55
CORA,15.04.2026 20:00,3.59
KAUFLAND,15.04.2026 20:00,4.39
MEGA IMAGE SRL,15.04.2026 20:00,4.41
PENNY,15.04.2026 20:00,4.05
PROFI,15.04.2026 20:00,4.75
SELGROS,15.04.2026 20:00,4.05
AUCHAN,17.04.2026 04:00,4.21
CARREFOUR,17.04.2026 04:00,4.55
CORA,17.04.2026 04:00,3.59
KAUFLAND,17.04.2026 04:00,4.39
MEGA IMAGE SRL,17.04.2026 04:00,4.41
PENNY,17.04.2026 04:00,4.05
PROFI,17.04.2026 04:00,4.75
SELGROS,17.04.2026 04:00,4.05
AUCHAN,17.04.2026 20:00,4.21
CARREFOUR,17.04.2026 20:00,4.55
CORA,17.04.2026 20:00,3.59
KAUFLAND,17.04.2026 20:00,4.39
MEGA IMAGE SRL,17.04.2026 20:00,4.41
PENNY,17.04.2026 20:00,3.99
PROFI,17.04.2026 20:00,4.75
SELGROS,17.04.2026 20:00,4.05
AUCHAN,18.04.2026 20:00,4.21
CARREFOUR,18.04.2026 20:00,4.55
CORA,18.04.2026 20:00,3.59
KAUFLAND,18.04.2026 20:00,4.39
MEGA IMAGE SRL,18.04.2026 20:00,4.41
PENNY,18.04.2026 20:00,3.99
PROFI,18.04.2026 20:00,4.75
SELGROS,18.04.2026 20:00,4.05
