network,avg_price,min_price,max_price,stores
CARREFOUR,11.85,11.85,11.85,3
MEGA IMAGE SRL,12.39,12.39,12.39,3
CORA,14.09,14.09,14.09,1
KAUFLAND,15.99,15.99,15.99,9
AUCHAN,16.49,16.49,16.49,1

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,16.49
CARREFOUR,15.04.2026 04:00,11.85
CORA,15.04.2026 04:00,14.09
KAUFLAND,15.04.2026 04:00,15.99
MEGA IMAGE SRL,15.04.2026 04:00,12.39
AUCHAN,15.04.2026 20:00,16.32
CARREFOUR,15.04.2026 20:00,11.85
CORA,15.04.2026 20:00,14.09
KAUFLAND,15.04.2026 20:00,15.99
MEGA IMAGE SRL,15.04.2026 20:00,12.39
AUCHAN,16.04.2026 04:00,16.49
CARREFOUR,16.04.2026 04:00,11.85
CORA,16.04.2026 04:00,14.09
KAUFLAND,16.04.2026 04:00,15.99
MEGA IMAGE SRL,16.04.2026 04:00,12.39
