network,avg_price,min_price,max_price,stores
CORA,23.99,23.99,23.99,4
SELGROS,29.19,28.99,29.99,5
AUCHAN,29.99,29.99,29.99,14
KAUFLAND,33.19,29.99,34.99,25
MEGA IMAGE SRL,33.87,32.69,35.19,130
PROFI,34.43,26.99,34.99,129
PENNY,34.99,34.99,34.99,2
CARREFOUR,35.47,34.79,36.99,56

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,5.19
CARREFOUR,15.04.2026 04:00,35.33
KAUFLAND,15.04.2026 04:00,32.49
MEGA IMAGE SRL,15.04.2026 04:00,34.89
PENNY,15.04.2026 04:00,34.99
PROFI,15.04.2026 04:00,32.49
AUCHAN,15.04.2026 20:00,15.33
CARREFOUR,15.04.2026 20:00,35.52
CORA,15.04.2026 20:00,23.99
KAUFLAND,15.04.2026 20:00,32.19
MEGA IMAGE SRL,15.04.2026 20:00,33.68
PENNY,15.04.2026 20:00,34.99
PROFI,15.04.2026 20:00,34.87
SELGROS,15.04.2026 20:00,29.59
AUCHAN,17.04.2026 04:00,15.33
CARREFOUR,17.04.2026 04:00,35.54
CORA,17.04.2026 04:00,23.99
KAUFLAND,17.04.2026 04:00,32.59
MEGA IMAGE SRL,17.04.2026 04:00,33.81
PENNY,17.04.2026 04:00,34.99
PROFI,17.04.2026 04:00,20.49
SELGROS,17.04.2026 04:00,29.59
AUCHAN,17.04.2026 20:00,15.33
CARREFOUR,17.04.2026 20:00,35.43
CORA,17.04.2026 20:00,23.99
KAUFLAND,17.04.2026 20:00,32.79
MEGA IMAGE SRL,17.04.2026 20:00,33.98
PENNY,17.04.2026 20:00,34.99
PROFI,17.04.2026 20:00,20.53
SELGROS,17.04.2026 20:00,29.59
AUCHAN,18.04.2026 20:00,15.33
CARREFOUR,18.04.2026 20:00,35.35
CORA,18.04.2026 20:00,23.99
KAUFLAND,18.04.2026 20:00,32.19
MEGA IMAGE SRL,18.04.2026 20:00,33.76
PENNY,18.04.2026 20:00,34.99
PROFI,18.04.2026 20:00,20.48
SELGROS,18.04.2026 20:00,29.19
AUCHAN,19.04.2026 20:00,14.76
CARREFOUR,19.04.2026 20:00,35.47
CORA,19.04.2026 20:00,23.99
KAUFLAND,19.04.2026 20:00,31.79
MEGA IMAGE SRL,19.04.2026 20:00,33.89
PENNY,19.04.2026 20:00,34.99
PROFI,19.04.2026 20:00,20.55
SELGROS,19.04.2026 20:00,29.59
AUCHAN,20.04.2026 20:00,14.76
CARREFOUR,20.04.2026 20:00,35.47
CORA,20.04.2026 20:00,23.99
KAUFLAND,20.04.2026 20:00,31.99
MEGA IMAGE SRL,20.04.2026 20:00,33.95
PENNY,20.04.2026 20:00,34.99
PROFI,20.04.2026 20:00,34.43
SELGROS,20.04.2026 20:00,29.19
AUCHAN,21.04.2026 20:00,29.99
CARREFOUR,21.04.2026 20:00,35.47
CORA,21.04.2026 20:00,23.99
KAUFLAND,21.04.2026 20:00,33.19
MEGA IMAGE SRL,21.04.2026 20:00,33.87
PENNY,21.04.2026 20:00,34.99
PROFI,21.04.2026 20:00,34.43
SELGROS,21.04.2026 20:00,29.19
