network,avg_price,min_price,max_price,stores
AUCHAN,27.39,24.99,32.39,5
CORA,28.5,28.5,28.5,4
MEGA IMAGE SRL,32.39,32.29,34.09,130
PENNY,32.39,32.39,32.39,2
CARREFOUR,32.43,31.19,32.99,53
KAUFLAND,33.19,33.19,33.19,25
SELGROS,33.2,33.2,33.2,5
PROFI,33.46,33.19,35.19,139

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,32.47
KAUFLAND,15.04.2026 04:00,33.19
MEGA IMAGE SRL,15.04.2026 04:00,32.29
PENNY,15.04.2026 04:00,32.39
PROFI,15.04.2026 04:00,33.19
AUCHAN,15.04.2026 20:00,26.7
CARREFOUR,15.04.2026 20:00,32.41
CORA,15.04.2026 20:00,28.5
KAUFLAND,15.04.2026 20:00,33.19
MEGA IMAGE SRL,15.04.2026 20:00,32.37
PENNY,15.04.2026 20:00,32.39
PROFI,15.04.2026 20:00,33.47
SELGROS,15.04.2026 20:00,33.2
AUCHAN,17.04.2026 04:00,27.39
CARREFOUR,17.04.2026 04:00,32.41
CORA,17.04.2026 04:00,28.5
KAUFLAND,17.04.2026 04:00,33.19
MEGA IMAGE SRL,17.04.2026 04:00,32.36
PENNY,17.04.2026 04:00,32.39
PROFI,17.04.2026 04:00,33.46
SELGROS,17.04.2026 04:00,33.2
AUCHAN,17.04.2026 20:00,27.39
CARREFOUR,17.04.2026 20:00,32.43
CORA,17.04.2026 20:00,28.5
KAUFLAND,17.04.2026 20:00,33.19
MEGA IMAGE SRL,17.04.2026 20:00,32.39
PENNY,17.04.2026 20:00,32.39
PROFI,17.04.2026 20:00,33.46
SELGROS,17.04.2026 20:00,33.2
