network,avg_price,min_price,max_price,stores
CORA,28.5,28.5,28.5,4
AUCHAN,28.99,24.99,32.39,3
MEGA IMAGE SRL,32.37,32.29,34.09,129
PENNY,32.39,32.39,32.39,2
CARREFOUR,32.43,31.19,32.99,55
KAUFLAND,33.19,33.19,33.19,25
SELGROS,33.2,33.2,33.2,5
PROFI,33.5,33.19,35.19,136

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,32.47
KAUFLAND,15.04.2026 04:00,33.19
MEGA IMAGE SRL,15.04.2026 04:00,32.29
PENNY,15.04.2026 04:00,32.39
PROFI,15.04.2026 04:00,33.19
AUCHAN,15.04.2026 20:00,26.7
CARREFOUR,15.04.2026 20:00,32.42
CORA,15.04.2026 20:00,28.5
KAUFLAND,15.04.2026 20:00,33.19
MEGA IMAGE SRL,15.04.2026 20:00,32.36
PENNY,15.04.2026 20:00,32.39
PROFI,15.04.2026 20:00,33.49
SELGROS,15.04.2026 20:00,33.2
AUCHAN,17.04.2026 04:00,27.39
CARREFOUR,17.04.2026 04:00,32.42
CORA,17.04.2026 04:00,28.5
KAUFLAND,17.04.2026 04:00,33.19
MEGA IMAGE SRL,17.04.2026 04:00,32.36
PENNY,17.04.2026 04:00,32.39
PROFI,17.04.2026 04:00,33.48
SELGROS,17.04.2026 04:00,33.2
AUCHAN,17.04.2026 20:00,27.39
CARREFOUR,17.04.2026 20:00,32.43
CORA,17.04.2026 20:00,28.5
KAUFLAND,17.04.2026 20:00,33.19
MEGA IMAGE SRL,17.04.2026 20:00,32.37
PENNY,17.04.2026 20:00,32.39
PROFI,17.04.2026 20:00,33.49
SELGROS,17.04.2026 20:00,33.2
AUCHAN,18.04.2026 20:00,27.99
CARREFOUR,18.04.2026 20:00,32.43
CORA,18.04.2026 20:00,28.5
KAUFLAND,18.04.2026 20:00,33.19
MEGA IMAGE SRL,18.04.2026 20:00,32.37
PENNY,18.04.2026 20:00,32.39
PROFI,18.04.2026 20:00,33.49
SELGROS,18.04.2026 20:00,33.2
AUCHAN,19.04.2026 20:00,27.99
CARREFOUR,19.04.2026 20:00,32.43
CORA,19.04.2026 20:00,28.5
KAUFLAND,19.04.2026 20:00,33.19
MEGA IMAGE SRL,19.04.2026 20:00,32.36
PENNY,19.04.2026 20:00,32.39
PROFI,19.04.2026 20:00,33.5
SELGROS,19.04.2026 20:00,33.2
AUCHAN,20.04.2026 20:00,28.99
CARREFOUR,20.04.2026 20:00,32.43
CORA,20.04.2026 20:00,28.5
KAUFLAND,20.04.2026 20:00,33.19
MEGA IMAGE SRL,20.04.2026 20:00,32.37
PENNY,20.04.2026 20:00,32.39
PROFI,20.04.2026 20:00,33.5
SELGROS,20.04.2026 20:00,33.2
