network,avg_price,min_price,max_price,stores
PROFI,6.49,6.49,6.49,291
CORA,6.99,6.99,6.99,5
CARREFOUR,7.09,7.09,7.09,38
KAUFLAND,7.11,7.11,7.11,169

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,7.09
KAUFLAND,13.04.2026 20:00,7.11
PROFI,13.04.2026 20:00,6.49
CARREFOUR,15.04.2026 04:00,7.09
CORA,15.04.2026 04:00,6.99
KAUFLAND,15.04.2026 04:00,7.11
PROFI,15.04.2026 04:00,6.49
CARREFOUR,15.04.2026 20:00,7.09
CORA,15.04.2026 20:00,6.99
KAUFLAND,15.04.2026 20:00,7.11
PROFI,15.04.2026 20:00,6.49
CARREFOUR,16.04.2026 04:00,7.09
CORA,16.04.2026 04:00,6.99
KAUFLAND,16.04.2026 04:00,7.11
PROFI,16.04.2026 04:00,6.49
CARREFOUR,16.04.2026 20:00,7.09
CORA,16.04.2026 20:00,6.99
KAUFLAND,16.04.2026 20:00,7.11
PROFI,16.04.2026 20:00,6.49
CARREFOUR,17.04.2026 04:00,7.09
CORA,17.04.2026 04:00,6.99
KAUFLAND,17.04.2026 04:00,7.11
PROFI,17.04.2026 04:00,6.49
